Process ID,Arrival Time,Burst Time,Priority
P230,957,43,14
P231,330,36,19
P232,639,13,7
P233,505,7,13
P234,347,36,18
P235,472,47,14
P236,230,9,1
P237,189,32,7
P238,224,11,8
P239,384,8,18
P240,376,33,9
P241,282,23,1
P242,957,25,17
P243,632,8,19
P244,627,45,6
P245,972,22,3
P246,744,4,5
P247,258,40,2
P248,358,3,4
P249,709,29,10
P250,455,41,10
P251,410,29,11
P252,648,34,16
P253,317,34,17
P254,676,28,16
P255,224,13,7
P256,818,15,16
P257,233,23,3
P258,683,44,16
P259,663,26,8
P260,974,4,12
P261,826,26,3
P262,373,40,17
P263,671,9,18
P264,607,5,11
P265,471,32,4
P266,232,20,16
P267,691,11,17
P268,112,15,9
P269,829,32,6
P270,496,28,2
P271,441,22,9
P272,563,41,6
P273,267,17,3
P274,509,26,6
P275,806,44,7
P276,385,7,1
P277,386,42,1
P278,112,26,5
P279,612,25,6
P280,624,10,13
P281,951,45,2
P282,80,19,15
P283,698,11,15
P284,112,13,13
P285,1,8,14
P286,641,40,7
P287,219,4,14
P288,565,47,10
P289,854,31,17
P290,996,28,14
P291,735,11,8
P292,224,43,4
P293,384,1,16
P294,402,49,13
P295,637,47,18
P296,129,38,14
P297,52,24,18
P298,683,47,5
P299,729,31,9
P300,671,41,3
P301,709,46,8
P302,415,26,10
P303,246,49,19
P304,835,5,3
P305,438,20,11
P306,202,41,11
P307,183,11,17
P308,122,33,16
P309,400,38,7
P310,766,27,4
P311,293,34,19
P312,279,15,12
P313,836,32,15
P314,883,21,11
P315,609,46,5
P316,197,5,5
P317,981,6,15
P318,906,38,18
P319,510,22,11
P320,751,18,12
P321,143,14,2
P322,608,10,15
P323,200,46,4
P324,123,13,18
P325,186,31,6
P326,325,30,19
P327,463,3,11
P328,348,30,2
P329,770,6,8
P330,659,29,11
P331,763,8,5
P332,954,44,18
P333,931,45,18
P334,402,43,14
P335,345,44,10
P336,962,33,3
P337,510,17,9
P338,146,48,3
P339,147,11,11
P340,863,13,12
P341,710,11,12
P342,819,31,3
P343,488,28,7
P344,928,44,14
P345,935,6,11
P346,639,41,7
P347,550,16,10
P348,337,4,11
P349,871,35,15
P350,640,48,19
P351,778,26,16
P352,987,12,12
P353,952,11,18
P354,472,37,13
P355,945,25,5
P356,150,18,4
P357,414,19,14
P358,989,23,8
P359,297,38,9
P360,610,18,19
P361,262,26,3
P362,763,6,5
P363,143,4,18
P364,345,44,1
P365,623,29,8
P366,571,34,19
P367,880,17,17
P368,1,43,17
P369,896,43,11
P370,303,16,2
P371,253,2,6
P372,651,34,14
P373,452,8,3
P374,36,13,12
P375,159,42,4
P376,8,8,12
P377,232,30,13
P378,98,32,2
P379,658,36,2
P380,815,47,15
P381,207,30,17
P382,130,1,7
P383,403,43,14
P384,151,39,12
P385,53,17,17
P386,119,20,14
P387,672,24,6
P388,919,22,19
P389,627,29,6
P390,586,22,18
P391,624,44,5
P392,967,9,6
P393,419,37,2
P394,421,10,8
P395,103,36,15
P396,851,37,15
P397,253,28,11
P398,226,28,1
P399,111,42,18
P400,509,43,12
P401,472,21,12
P402,98,24,11
P403,152,42,8
P404,860,40,7
P405,913,2,2
P406,895,8,11
P407,877,48,10
P408,337,27,3
P409,705,22,10
P410,821,37,18
P411,162,27,14
P412,719,29,18
P413,956,3,8
P414,680,44,10
P415,995,13,13
P416,160,45,8
P417,579,10,4
P418,800,36,4
P419,397,9,5
P420,276,27,1
P421,815,34,17
P422,915,1,2
P423,503,32,8
P424,895,25,7
P425,391,29,15
P426,134,7,5
P427,194,49,2
P428,400,3,7
P429,639,20,8
P430,32,20,7
P431,687,30,7
P432,459,35,14
P433,954,35,18
P434,882,49,6
P435,469,39,4
P436,374,27,10
P437,21,26,18
P438,749,14,12
P439,669,17,16
P440,37,18,7
P441,229,45,6
P442,364,29,5
P443,562,20,3
P444,437,27,12
P445,775,18,15
P446,282,4,10
P447,26,1,19
P448,225,1,16
P449,276,26,11
P450,797,45,8
P451,608,20,3
P452,283,23,7
P453,878,10,7
P454,959,11,14
P455,480,41,2
P456,452,41,10
P457,828,5,19
P458,815,1,9
P459,658,17,16
P460,515,22,19
P461,546,34,18
P462,191,45,9
P463,48,41,16
P464,511,29,13
P465,16,4,10
P466,171,5,14
P467,219,11,12
P468,157,21,19
P469,476,35,7
P470,45,12,15
P471,372,26,16
P472,517,19,8
P473,98,45,10
P474,891,7,4
P475,744,47,19
P476,36,7,19
P477,279,26,15
P478,348,40,14
P479,496,5,1
P480,301,21,16
P481,180,14,10
P482,606,4,19
P483,98,23,3
P484,699,42,5
P485,992,20,9
P486,115,15,18
P487,190,45,11
P488,252,29,16
P489,980,8,2
P490,927,41,12
P491,982,48,6
P492,160,19,11
P493,255,48,8
P494,322,39,12
P495,127,46,2
P496,17,28,9
P497,792,46,15
P498,734,27,2
P499,565,4,1
P500,569,15,10
P501,322,35,2
P502,871,37,12
P503,685,1,8
P504,791,3,5
P505,625,47,1
P506,287,24,15
P507,942,27,6
P508,853,40,12
P509,662,36,8
P510,961,34,13
P511,638,29,19
P512,154,24,1
P513,489,24,11
P514,385,42,1
P515,985,4,8
P516,784,3,5
P517,103,34,17
P518,928,49,8
P519,392,23,10
P520,810,23,2
P521,245,45,9
P522,175,5,3
P523,38,31,18
P524,476,41,7
P525,681,6,15
P526,758,37,18
P527,537,10,3
P528,866,40,14
P529,817,7,2
P530,920,39,14
P531,407,38,11
P532,524,21,16
P533,827,20,8
P534,505,3,7
P535,902,22,11
P536,824,47,3
P537,35,4,17
P538,684,28,14
P539,19,12,6
P540,320,38,8
P541,775,36,5
P542,511,47,8
P543,399,41,2
P544,653,5,15
P545,971,13,12
P546,882,23,17
P547,470,30,1
P548,142,37,15
P549,91,25,14
P550,353,48,16
P551,833,27,9
P552,799,14,1
P553,726,48,17
P554,958,47,13
P555,853,36,5
P556,50,39,10
P557,664,16,6
P558,697,22,19
P559,574,21,13
P560,189,21,1
P561,124,8,15
P562,149,49,14
P563,313,16,8
P564,569,31,10
P565,341,42,9
P566,304,10,17
P567,691,32,9
P568,681,34,3
P569,837,9,11
P570,782,17,12
P571,53,11,10
P572,443,32,17
P573,612,10,17
P574,992,22,11
P575,263,17,4
P576,52,4,7
P577,571,48,14
P578,619,47,7
P579,4,25,8
P580,102,21,1
P581,195,37,4
P582,773,38,12
P583,876,49,3
P584,991,1,13
P585,883,25,6
P586,349,36,11
P587,46,17,4
P588,866,41,16
P589,822,24,7
P590,935,2,11
P591,819,40,1
P592,655,15,7
P593,268,32,12
P594,369,39,7
P595,635,6,7
P596,105,1,10
P597,669,47,16
P598,658,23,8
P599,656,39,9
P600,119,17,9
P601,830,34,2
P602,786,41,13
P603,603,29,13
P604,57,9,4
P605,950,13,12
P606,345,6,17
P607,740,6,2
P608,473,20,13
P609,116,3,18
P610,829,17,15
P611,790,49,8
P612,126,12,15
P613,392,48,1
P614,907,47,10
P615,640,45,12
P616,57,1,5
P617,633,17,9
P618,512,3,8
P619,750,26,16
P620,801,15,14
P621,95,36,13
P622,637,32,13
P623,117,32,5
P624,559,4,16
P625,600,18,11
P626,487,49,5
P627,236,19,13
P628,884,43,11
P629,896,35,19
P630,271,40,3
P631,188,14,15
P632,998,33,7
P633,703,14,7
P634,446,34,6
P635,580,4,3
P636,789,24,13
P637,860,29,7
P638,246,19,5
P639,962,6,18
P640,75,33,8
P641,153,49,17
P642,655,40,1
P643,434,19,14
P644,996,1,17
P645,85,5,10
P646,696,27,12
P647,284,16,16
P648,973,6,14
P649,219,40,16
P650,68,13,8
P651,46,48,10
P652,93,35,17
P653,749,19,18
P654,957,12,16
P655,452,16,17
P656,203,43,16
P657,911,10,19
P658,217,25,8
P659,473,20,6
P660,431,31,6
P661,340,4,9
P662,550,44,4
P663,611,23,12
P664,288,2,12
P665,253,22,17
P666,733,37,15
P667,356,8,9
P668,22,7,7
P669,761,14,10
P670,521,3,16
P671,757,16,12
P672,836,19,7
P673,99,18,18
P674,801,16,15
P675,179,8,6
P676,222,33,12
P677,905,49,11
P678,761,12,3
P679,658,11,2
P680,441,5,6
P681,607,27,5
P682,768,12,18
P683,324,17,16
P684,515,6,8
P685,15,33,11
P686,791,5,10
P687,335,28,12
P688,758,14,6
P689,257,5,5
P690,496,33,9
P691,987,48,16
P692,895,41,14
P693,159,19,8
P694,474,22,19
P695,851,5,14
P696,663,2,7
P697,907,30,5
P698,689,47,18
P699,674,39,2
P700,379,4,11
P701,544,33,8
P702,928,13,1
P703,956,20,12
P704,690,7,2
P705,426,15,18
P706,612,23,7
P707,267,14,17
P708,834,23,14
P709,576,19,7
P710,416,29,3
P711,167,20,6
P712,841,29,2
P713,42,24,17
P714,555,18,12
P715,284,10,12
P716,396,41,17
P717,11,8,10
P718,606,26,3
P719,301,29,18
P720,897,10,13
P721,252,17,12
P722,498,2,17
P723,753,6,4
P724,34,5,10
P725,726,28,11
P726,848,41,6
P727,89,5,6
P728,775,18,9
P729,604,26,15
P730,921,20,2
P731,969,41,4
P732,601,49,5
P733,417,27,17
P734,114,49,8
P735,616,12,8
P736,902,7,12
P737,195,3,8
P738,825,10,19
P739,500,34,3
P740,625,25,18
P741,492,35,19
P742,74,16,19
P743,412,2,15
P744,375,24,6
P745,419,10,16
P746,728,38,8
P747,276,22,16
P748,760,26,18
P749,675,43,16
P750,393,39,11
P751,868,27,7
P752,456,29,17
P753,919,47,17
P754,191,38,12
P755,738,20,13
P756,688,27,10
P757,98,41,7
P758,547,20,14
P759,977,44,1
P760,998,19,17
P761,95,20,4
P762,663,35,5
P763,662,47,7
P764,189,2,10
P765,735,30,17
P766,36,34,7
P767,779,22,1
P768,368,3,7
P769,694,6,11
P770,524,15,9
P771,278,27,12
P772,216,10,3
P773,866,9,4
P774,872,33,4
P775,797,32,13
P776,272,48,19
P777,880,6,10
P778,61,41,5
P779,595,36,7
P780,879,2,16
P781,728,29,1
P782,341,4,12
P783,396,1,2
P784,698,19,7
P785,18,26,11
P786,176,25,13
P787,611,10,2
P788,395,15,7
P789,444,22,15
P790,232,48,11
P791,914,21,2
P792,75,22,7
P793,264,36,4
P794,454,34,11
P795,795,30,2
P796,717,25,16
P797,734,45,7
P798,383,28,13
P799,563,1,5
P800,850,49,17
P801,505,45,12
P802,366,4,19
P803,143,7,7
P804,884,49,6
P805,68,9,8
P806,98,36,13
P807,395,19,5
P808,24,1,2
P809,947,10,9
P810,890,36,11
P811,468,9,6
P812,483,45,7
P813,564,46,7
P814,150,42,19
P815,143,32,6
P816,568,32,11
P817,38,6,11
P818,108,48,7
P819,692,38,2
P820,41,17,19
P821,185,10,4
P822,934,27,6
P823,397,35,17
P824,222,21,5
P825,633,25,7
P826,132,28,9
P827,162,47,1
P828,214,15,1
P829,732,4,19
P830,234,29,6
P831,842,9,18
P832,657,27,10
P833,750,26,11
P834,587,19,1
P835,8,28,1
P836,73,17,13
P837,953,43,5
P838,491,41,1
P839,912,42,3
P840,252,20,18
P841,229,45,9
P842,518,40,14
P843,173,39,17
P844,652,49,14
P845,167,23,4
P846,169,47,5
P847,392,32,17
P848,945,47,2
P849,794,33,5
P850,633,46,4
P851,193,5,4
P852,516,43,6
P853,28,48,13
P854,164,34,5
P855,421,40,7
P856,338,11,1
P857,647,3,14
P858,495,33,4
P859,364,11,17
P860,832,16,14
P861,341,18,16
P862,499,30,14
P863,656,48,16
P864,510,10,8
P865,326,18,3
P866,216,38,19
P867,300,19,1
P868,131,36,2
P869,803,13,15
P870,69,46,10
P871,251,3,18
P872,414,10,14
P873,786,38,17
P874,444,1,13
P875,875,27,1
P876,181,46,5
P877,166,8,13
P878,90,46,14
P879,713,42,3
P880,857,17,15
P881,530,9,19
P882,38,6,17
P883,125,43,3
P884,450,25,16
P885,172,39,14
P886,652,49,12
P887,753,28,12
P888,219,33,11
P889,637,37,17
P890,57,9,8
P891,659,18,17
P892,475,21,11
P893,455,2,2
P894,828,43,10
P895,894,38,10
P896,360,40,11
P897,934,36,6
P898,0,43,4
P899,386,37,12
P900,972,15,11
P901,347,28,13
P902,189,18,5
P903,504,34,6
P904,190,22,1
P905,507,11,6
P906,368,13,18
P907,408,4,9
P908,823,22,15
P909,928,7,8
P910,933,43,19
P911,116,24,16
P912,133,4,6
P913,57,28,6
P914,555,15,3
P915,684,1,10
P916,671,3,1
P917,172,14,14
P918,828,38,4
P919,814,1,12
P920,148,38,6
P921,79,38,11
P922,885,21,12
P923,212,48,10
P924,202,29,18
P925,763,5,7
P926,228,49,7
P927,675,10,11
P928,226,28,4
P929,658,21,1
P930,531,7,13
P931,440,3,18
P932,401,45,9
P933,46,47,9
P934,232,20,9
P935,304,19,10
P936,525,35,2
P937,142,4,6
P938,414,5,15
P939,512,1,3
P940,372,4,11
P941,565,12,6
P942,885,27,3
P943,258,42,11
P944,655,23,15
P945,470,25,13
P946,952,21,10
P947,970,24,6
P948,11,25,15
P949,329,45,18
P950,735,46,18
P951,783,32,7
P952,967,32,15
P953,357,5,18
P954,971,36,18
P955,407,46,9
P956,667,42,2
P957,372,49,8
P958,7,42,2
P959,121,39,11
P960,347,16,7
P961,675,33,6
P962,89,49,10
P963,647,21,5
P964,697,9,11
P965,315,6,1
P966,177,45,2
P967,539,35,1
P968,731,39,19
P969,868,22,2
P970,40,41,4
P971,739,5,12
P972,703,42,18
P973,922,23,1
P974,501,17,1
P975,958,12,14
P976,144,23,4
P977,200,16,5
P978,928,3,11
P979,723,30,13
P980,460,22,16
P981,731,9,13
P982,751,29,2
P983,924,47,16
P984,908,37,6
P985,557,23,14
P986,546,13,1
P987,252,32,17
P988,389,46,11
P989,593,47,19
P990,882,48,3
P991,255,23,11
P992,708,45,5
P993,814,17,17
P994,920,40,7
P995,449,21,10
P996,9,2,11
P997,823,37,3
P998,797,6,10
P999,241,44,10
P1000,250,18,14
P1001,876,30,12
P1002,4,22,15
P1003,118,33,10
P1004,800,30,10
P1005,373,17,19
P1006,64,43,1
P1007,145,32,10
P1008,223,42,2
P1009,238,14,17
P1010,176,10,7
P1011,778,47,7
P1012,852,36,9
P1013,281,34,2
P1014,62,9,14
P1015,216,42,17
P1016,853,28,1
P1017,826,11,9
P1018,794,14,19
P1019,688,39,4
P1020,460,47,8
P1021,928,19,13
P1022,609,15,4
P1023,104,28,9
P1024,98,24,9
P1025,510,8,18
P1026,384,43,12
P1027,404,9,10
P1028,822,47,11
P1029,517,33,7
P1030,475,33,9
P1031,976,19,6
P1032,708,3,19
P1033,862,10,16
P1034,644,40,15
P1035,869,47,7
P1036,770,42,16
P1037,436,1,5
P1038,22,29,16
P1039,996,34,1
P1040,564,13,19
P1041,676,1,5
P1042,713,34,7
P1043,457,29,19
P1044,82,48,5
P1045,144,47,17
P1046,84,13,8
P1047,77,48,1
P1048,456,49,2
P1049,877,29,15
P1050,0,39,18
P1051,50,24,11
P1052,684,26,10
P1053,716,17,4
P1054,771,7,5
P1055,445,13,4
P1056,448,5,13
P1057,880,26,13
P1058,487,49,18
P1059,799,3,2
P1060,33,7,16
P1061,347,49,1
P1062,94,39,19
P1063,71,1,9
P1064,550,49,3
P1065,153,17,7
P1066,249,43,10
P1067,673,25,1
P1068,437,3,10
P1069,117,15,9
P1070,770,29,15
P1071,890,43,15
P1072,305,32,3
P1073,267,26,5
P1074,960,16,9
P1075,53,25,9
P1076,235,28,7
P1077,388,9,12
P1078,989,1,9
P1079,733,29,6
P1080,762,22,2
P1081,824,16,9
P1082,400,41,17
P1083,623,44,1
P1084,766,41,19
P1085,302,7,6
P1086,918,14,5
P1087,206,29,2
P1088,228,19,9
P1089,852,19,14
P1090,909,2,4
P1091,577,41,4
P1092,74,45,15
P1093,434,15,8
P1094,102,3,4
P1095,421,11,16
P1096,703,46,4
P1097,763,30,16
P1098,737,40,12
P1099,805,18,16
P1100,305,48,19
P1101,97,2,8
P1102,849,32,6
P1103,797,8,10
P1104,334,22,5
P1105,858,6,18
P1106,434,12,10
P1107,446,47,10
P1108,993,40,7
P1109,307,36,18
P1110,248,15,1
P1111,165,28,7
P1112,480,49,1
P1113,983,45,15
P1114,334,18,4
P1115,541,2,10
P1116,758,13,9
P1117,105,45,2
P1118,562,15,14
P1119,80,20,16
P1120,132,29,1
P1121,796,42,2
P1122,899,29,7
P1123,137,3,10
P1124,183,19,1
P1125,400,3,13
P1126,329,14,1
P1127,784,40,5
P1128,507,4,16
P1129,851,11,15
P1130,983,31,17
P1131,68,43,16
P1132,545,32,13
P1133,773,27,11
P1134,52,30,17
P1135,449,43,17
P1136,204,2,2
P1137,125,49,13
P1138,746,9,14
P1139,42,28,11
P1140,751,31,10
P1141,970,34,3
P1142,882,15,17
P1143,110,48,15
P1144,760,25,9
P1145,662,36,10
P1146,182,8,8
P1147,847,9,13
P1148,94,37,18
P1149,970,48,5
P1150,373,45,6
P1151,911,39,17
P1152,519,32,11
P1153,899,17,16
P1154,359,35,9
P1155,899,37,2
P1156,695,19,5
P1157,280,44,1
P1158,194,29,4
P1159,863,7,4
P1160,194,28,3
P1161,666,9,9
P1162,92,28,12
P1163,671,6,10
P1164,945,29,2
P1165,60,17,11
P1166,633,16,10
P1167,50,23,6
P1168,402,31,18
P1169,788,3,2
P1170,4,21,2
P1171,465,26,10
P1172,603,36,16
P1173,681,42,12
P1174,828,37,1
P1175,533,22,8
P1176,404,42,16
P1177,837,12,18
P1178,512,42,13
P1179,644,13,15
P1180,232,11,12
P1181,523,16,8
P1182,345,8,10
P1183,45,40,14
P1184,545,40,5
P1185,944,45,18
P1186,77,2,19
P1187,729,30,15
P1188,812,30,6
P1189,922,12,11
P1190,72,10,11
P1191,793,44,18
P1192,248,11,18
P1193,46,15,10
P1194,120,16,2
P1195,213,17,9
P1196,238,26,14
P1197,55,2,19
P1198,349,12,10
P1199,106,26,4
P1200,830,23,6
P1201,47,18,14
P1202,572,32,4
P1203,336,49,15
P1204,25,38,16
P1205,803,47,7
P1206,256,3,17
P1207,7,38,19
P1208,624,3,19
P1209,866,30,17
P1210,252,1,6
P1211,691,30,11
P1212,718,45,16
P1213,302,32,8
P1214,638,28,11
P1215,55,21,7
P1216,725,46,19
P1217,525,13,10
P1218,473,27,9
P1219,27,36,4
P1220,982,7,15
P1221,77,22,13
P1222,215,10,2
P1223,385,39,2
P1224,364,15,16
P1225,665,15,9
P1226,525,4,13
P1227,698,32,3
P1228,311,23,9
P1229,882,6,13
P1230,6,24,2
P1231,2,20,8
P1232,622,37,9
P1233,918,20,16
P1234,749,12,2
P1235,362,33,6
P1236,750,28,8
P1237,507,8,5
P1238,273,1,9
P1239,505,37,1
P1240,805,22,9
P1241,738,6,10
P1242,882,21,4
P1243,14,32,3
P1244,191,35,10
P1245,984,15,15
P1246,630,5,11
P1247,484,46,14
P1248,27,48,6
P1249,713,6,12
P1250,38,25,13
P1251,952,46,17
P1252,272,40,16
P1253,230,29,3
P1254,85,7,2
P1255,473,40,11
P1256,125,13,9
P1257,811,38,3
P1258,536,18,18
P1259,144,2,15
P1260,524,8,14
P1261,211,11,2
P1262,24,33,17
P1263,579,38,8
P1264,393,48,10
P1265,66,27,18
P1266,232,20,19
P1267,108,12,8
P1268,145,43,8
P1269,110,31,3
P1270,227,27,3
P1271,110,32,12
P1272,469,10,17
P1273,33,3,4
P1274,622,45,17
P1275,775,27,14
P1276,935,35,19
P1277,368,31,9
P1278,747,15,12
P1279,594,16,5
P1280,553,13,11
P1281,424,49,3
P1282,612,35,15
P1283,517,11,14
P1284,691,21,11
P1285,281,11,8
P1286,319,30,4
P1287,737,48,12
P1288,442,35,8
P1289,951,22,6
P1290,314,38,15
P1291,876,31,12
P1292,965,14,16
P1293,740,24,16
P1294,376,49,4
P1295,288,32,11
P1296,436,36,13
P1297,661,32,9
P1298,276,15,4
P1299,709,43,12
P1300,581,35,9
P1301,502,3,13
P1302,623,16,16
P1303,515,5,6
P1304,349,21,10
P1305,842,10,13
P1306,445,19,7
P1307,829,25,19
P1308,349,4,19
P1309,606,29,17
P1310,663,19,13
P1311,822,43,13
P1312,136,2,2
P1313,758,10,10
P1314,898,43,13
P1315,242,25,9
P1316,542,20,1
P1317,39,48,14
P1318,228,19,16
P1319,547,23,15
P1320,919,24,1
P1321,222,11,17
P1322,5,46,13
P1323,321,34,15
P1324,467,28,16
P1325,731,5,16
P1326,74,5,2
P1327,3,21,17
P1328,846,12,11
P1329,645,4,8
P1330,117,49,3
P1331,880,42,12
P1332,605,20,16
P1333,503,38,14
P1334,997,25,16
P1335,946,14,17
P1336,573,11,11
P1337,440,32,17
P1338,193,11,19
P1339,846,18,1
P1340,714,27,12
P1341,391,18,15
P1342,25,23,18
P1343,434,11,14
P1344,172,21,1
P1345,299,44,13
P1346,644,5,15
P1347,325,23,7
P1348,409,41,15
P1349,117,25,10
P1350,835,41,14
P1351,786,10,6
P1352,723,22,14
P1353,224,19,12
P1354,531,1,11
P1355,112,7,19
P1356,139,4,2
P1357,558,1,1
P1358,0,15,8
P1359,89,40,14
P1360,653,12,9
P1361,319,22,2
P1362,549,22,5
P1363,804,47,8
P1364,893,17,16
P1365,138,29,16
P1366,510,46,13
P1367,867,14,15
P1368,844,20,1
P1369,258,48,3
P1370,672,33,6
P1371,901,43,14
P1372,689,15,4
P1373,9,12,18
P1374,260,40,15
P1375,918,20,9
P1376,649,30,18
P1377,171,38,3
P1378,897,3,10
P1379,12,28,17
P1380,167,26,7
P1381,641,30,15
P1382,595,13,1
P1383,320,13,11
P1384,318,2,17
P1385,612,37,5
P1386,328,49,7
P1387,784,38,19
P1388,776,2,15
P1389,970,36,3
P1390,910,26,15
P1391,919,11,5
P1392,549,8,12
P1393,418,44,5
P1394,605,40,3
P1395,94,43,9
P1396,816,22,9
P1397,580,20,7
P1398,317,8,2
P1399,955,29,16
P1400,235,40,9
P1401,945,26,13
P1402,333,30,19
P1403,884,17,17
P1404,375,20,6
P1405,458,16,4
P1406,136,46,1
P1407,929,43,18
P1408,587,7,19
P1409,994,16,9
P1410,546,45,13
P1411,512,47,8
P1412,295,48,13
P1413,319,27,15
P1414,917,23,11
P1415,571,24,12
P1416,831,9,14
P1417,348,35,4
P1418,839,20,1
P1419,778,37,4
P1420,872,42,19
P1421,228,17,9
P1422,269,47,10
P1423,827,31,4
P1424,797,8,9
P1425,290,15,13
P1426,724,31,12
P1427,164,30,11
P1428,4,46,12
P1429,850,20,18
P1430,378,39,12
P1431,77,12,16
P1432,409,49,5
P1433,573,17,12
P1434,131,42,11
P1435,600,30,9
P1436,748,29,18
P1437,41,19,3
P1438,88,46,17
P1439,401,11,14
P1440,295,34,1
P1441,839,7,17
P1442,294,44,8
P1443,615,34,5
P1444,525,20,5
P1445,799,38,9
P1446,690,24,3
P1447,636,10,19
P1448,421,32,9
P1449,864,15,18
P1450,22,37,16
P1451,574,20,1
P1452,142,3,2
P1453,992,37,14
P1454,664,40,14
P1455,144,8,1
P1456,224,40,16
P1457,502,44,15
P1458,961,23,15
P1459,973,40,12
P1460,820,11,16
P1461,615,46,14
P1462,103,8,15
P1463,946,29,15
P1464,38,30,19
P1465,946,10,8
P1466,197,39,2
P1467,645,28,2
P1468,578,49,10
P1469,390,36,3
P1470,178,13,17
P1471,967,32,8
P1472,553,36,4
P1473,447,37,14
P1474,499,26,10
P1475,14,22,1
P1476,622,4,4
P1477,668,31,1
P1478,288,18,17
P1479,477,38,17
P1480,230,24,7
P1481,922,23,15
P1482,419,22,13
P1483,156,2,2
P1484,549,31,19
P1485,440,11,13
P1486,96,28,11
P1487,996,46,15
P1488,410,32,10
P1489,950,5,9
P1490,288,38,9
P1491,253,10,1
P1492,195,40,17
P1493,597,46,12
P1494,833,24,10
P1495,521,35,5
