ProcessID,ArrivalTime,BurstTime,Priority,GroupID
P3_15,6,12,4,3
P3_16,18,17,5,3
P3_17,37,14,2,3
P3_18,14,20,2,3
P3_19,41,15,4,3
P3_20,50,6,3,3
P3_21,2,6,2,3
P3_22,18,14,1,3
P3_23,14,18,3,3
P3_24,42,1,1,3
P3_25,28,5,2,3
P3_26,15,2,2,3
P3_27,23,12,2,3
P3_28,3,4,5,3
P3_29,17,1,4,3
P3_30,10,16,4,3
P3_31,2,18,2,3
P3_32,24,15,3,3
P3_33,5,1,1,3
P3_34,0,18,4,3
P3_35,9,3,2,3
P3_36,14,6,2,3
P3_37,20,9,3,3
P3_38,46,12,1,3
P3_39,18,6,1,3
P3_40,17,16,5,3
P3_41,28,9,2,3
P3_42,34,18,3,3
P3_43,27,9,3,3
P3_44,49,6,1,3
P3_45,20,20,2,3
P3_46,28,6,3,3
P3_47,19,15,3,3
P3_48,4,6,4,3
P3_49,48,17,4,3
P3_50,40,1,1,3
P4_1,47,9,4,4
P4_2,9,2,4,4
P4_3,41,15,4,4
P4_4,0,18,1,4
P4_5,41,18,1,4
P4_6,6,2,3,4
P4_7,18,3,5,4
P4_8,6,4,1,4
P4_9,33,12,5,4
P4_10,36,13,1,4
P4_11,12,5,5,4
P4_12,34,17,4,4
P4_13,45,1,2,4
P4_14,3,4,5,4
P4_15,29,20,4,4
P4_16,25,2,1,4
P4_17,30,14,3,4
P4_18,6,13,5,4
P4_19,17,20,1,4
P4_20,15,2,1,4
P4_21,1,4,3,4
P4_22,12,12,1,4
P4_23,15,7,3,4
P4_24,4,16,3,4
P4_25,25,5,4,4
P4_26,34,11,1,4
P4_27,15,9,2,4
P4_28,12,2,5,4
P4_29,20,19,1,4
P4_30,18,12,3,4
P4_31,9,3,1,4
P4_32,49,4,1,4
P4_33,1,18,2,4
P4_34,49,2,1,4
P4_35,44,15,1,4
P4_36,3,5,2,4
P4_37,23,1,3,4
P4_38,40,4,2,4
P4_39,32,4,3,4
P4_40,45,3,4,4
P4_41,9,13,5,4
P4_42,23,19,1,4
P4_43,22,9,2,4
P4_44,21,11,2,4
P4_45,43,3,1,4
P4_46,38,7,5,4
P4_47,43,7,3,4
P4_48,38,2,5,4
P4_49,22,14,2,4
P4_50,7,4,3,4
P5_1,22,10,3,5
P5_2,30,13,1,5
P5_3,8,19,5,5
P5_4,15,14,1,5
P5_5,11,8,3,5
P5_6,34,18,3,5
P5_7,32,4,4,5
P5_8,37,14,3,5
P5_9,25,1,3,5
P5_10,32,6,3,5
P5_11,7,17,4,5
P5_12,16,4,5,5
P5_13,46,3,4,5
P5_14,45,13,2,5
P5_15,9,16,3,5
P5_16,4,10,2,5
P5_17,45,11,1,5
P5_18,29,13,3,5
P5_19,13,8,1,5
P5_20,18,12,4,5
P5_21,13,11,5,5
P5_22,41,3,2,5
P5_23,5,9,5,5
P5_24,25,11,4,5
P5_25,10,9,2,5
P5_26,43,20,4,5
P5_27,34,17,5,5
P5_28,25,19,2,5
P5_29,47,18,5,5
P5_30,23,13,3,5
P5_31,9,3,3,5
P5_32,11,13,1,5
P5_33,16,1,3,5
P5_34,42,6,5,5
P5_35,6,20,4,5
P5_36,33,3,3,5
P5_37,31,9,1,5
P5_38,12,1,1,5
P5_39,10,4,4,5
P5_40,28,19,2,5
P5_41,17,11,2,5
P5_42,49,3,3,5
P5_43,15,8,4,5
P5_44,9,13,2,5
P5_45,23,2,2,5
P5_46,50,11,5,5
P5_47,35,5,2,5
P5_48,11,11,1,5
P5_49,29,11,1,5
P5_50,32,9,1,5
P6_1,42,8,4,6
P6_2,3,3,5,6
P6_3,36,14,3,6
P6_4,22,10,1,6
P6_5,46,9,3,6
P6_6,39,14,5,6
P6_7,38,1,2,6
P6_8,41,16,3,6
P6_9,41,12,2,6
P6_10,9,5,4,6
P6_11,26,15,3,6
P6_12,46,6,1,6
P6_13,2,17,3,6
P6_14,46,11,3,6
P6_15,11,14,1,6
P6_16,0,17,1,6
P6_17,47,9,5,6
P6_18,3,11,5,6
P6_19,50,19,1,6
P6_20,1,10,2,6
P6_21,45,20,3,6
P6_22,10,5,5,6
P6_23,7,7,5,6
P6_24,24,2,2,6
P6_25,20,14,5,6
P6_26,10,4,5,6
P6_27,33,2,1,6
P6_28,24,2,4,6
P6_29,36,12,5,6
P6_30,8,7,4,6
P6_31,9,6,1,6
P6_32,0,20,3,6
P6_33,26,9,5,6
P6_34,43,17,3,6
P6_35,40,3,3,6
P6_36,38,10,2,6
P6_37,26,18,4,6
P6_38,20,9,5,6
P6_39,9,6,3,6
P6_40,4,11,1,6
P6_41,7,1,2,6
P6_42,49,8,3,6
P6_43,33,5,3,6
P6_44,26,20,2,6
P6_45,19,17,1,6
P6_46,21,17,4,6
P6_47,25,13,5,6
P6_48,5,1,4,6
P6_49,8,10,4,6
P6_50,34,6,5,6
P7_1,4,5,4,7
P7_2,32,13,1,7
P7_3,5,12,2,7
P7_4,23,4,2,7
P7_5,26,1,2,7
P7_6,45,14,4,7
P7_7,24,5,4,7
P7_8,12,20,1,7
P7_9,3,11,3,7
P7_10,33,19,5,7
P7_11,18,19,1,7
P7_12,7,19,2,7
P7_13,44,8,2,7
P7_14,38,15,5,7
P7_15,27,5,3,7
P7_16,3,2,1,7
P7_17,49,10,2,7
P7_18,11,19,3,7
P7_19,29,20,3,7
P7_20,21,6,3,7
P7_21,11,20,5,7
P7_22,10,15,4,7
P7_23,11,7,1,7
P7_24,22,15,4,7
P7_25,22,13,3,7
P7_26,37,1,4,7
P7_27,34,8,1,7
P7_28,17,11,3,7
P7_29,12,10,1,7
P7_30,44,8,4,7
P7_31,50,5,5,7
P7_32,7,2,5,7
P7_33,42,17,2,7
P7_34,30,4,4,7
P7_35,41,7,5,7
P7_36,21,9,2,7
P7_37,24,1,5,7
P7_38,24,10,4,7
P7_39,0,16,3,7
P7_40,11,4,3,7
P7_41,49,19,3,7
P7_42,29,10,5,7
P7_43,44,19,2,7
P7_44,50,12,1,7
P7_45,16,9,1,7
P7_46,23,15,1,7
P7_47,26,14,3,7
P7_48,44,7,3,7
P7_49,47,12,3,7
P7_50,41,9,3,7
P8_1,41,10,4,8
P8_2,35,7,3,8
P8_3,24,14,3,8
P8_4,28,12,1,8
P8_5,33,17,5,8
P8_6,17,8,3,8
P8_7,16,14,3,8
P8_8,26,7,1,8
P8_9,1,10,3,8
P8_10,8,15,3,8
P8_11,48,11,2,8
P8_12,41,1,5,8
P8_13,42,13,4,8
P8_14,20,6,3,8
P8_15,26,4,1,8
P8_16,19,10,1,8
P8_17,7,5,1,8
P8_18,48,19,1,8
P8_19,31,18,5,8
P8_20,8,4,4,8
P8_21,40,18,4,8
P8_22,43,9,5,8
P8_23,43,13,3,8
P8_24,39,6,1,8
P8_25,16,16,4,8
P8_26,18,18,1,8
P8_27,30,8,2,8
P8_28,46,7,2,8
P8_29,4,5,3,8
P8_30,37,1,3,8
P8_31,34,7,2,8
P8_32,10,5,3,8
P8_33,8,16,2,8
P8_34,23,2,4,8
P8_35,31,8,5,8
P8_36,50,13,2,8
P8_37,30,14,4,8
P8_38,37,15,3,8
P8_39,18,14,3,8
P8_40,11,20,2,8
P8_41,10,4,2,8
P8_42,26,4,1,8
P8_43,25,9,2,8
P8_44,44,1,1,8
P8_45,11,9,3,8
P8_46,33,2,4,8
P8_47,7,7,2,8
P8_48,5,20,2,8
P8_49,30,6,5,8
P8_50,32,14,2,8
P9_1,28,11,4,9
P9_2,3,12,3,9
P9_3,45,13,4,9
P9_4,25,8,1,9
P9_5,21,5,3,9
P9_6,31,12,4,9
P9_7,21,17,2,9
P9_8,29,10,5,9
P9_9,26,15,3,9
P9_10,9,16,3,9
P9_11,11,19,2,9
P9_12,30,9,5,9
P9_13,9,20,5,9
P9_14,33,16,1,9
P9_15,22,9,4,9
P9_16,7,12,5,9
P9_17,4,2,5,9
P9_18,30,11,3,9
P9_19,29,2,4,9
P9_20,10,5,5,9
P9_21,13,2,2,9
P9_22,7,9,3,9
P9_23,6,6,3,9
P9_24,25,17,5,9
P9_25,19,3,2,9
P9_26,2,5,4,9
P9_27,49,4,4,9
P9_28,44,11,1,9
P9_29,48,11,3,9
P9_30,45,10,2,9
P9_31,12,15,1,9
P9_32,10,4,5,9
P9_33,30,7,5,9
P9_34,3,4,4,9
P9_35,24,16,3,9
P9_36,8,2,1,9
P9_37,19,14,4,9
P9_38,40,3,2,9
P9_39,11,5,3,9
P9_40,43,13,3,9
P9_41,34,1,2,9
P9_42,23,5,4,9
P9_43,40,5,3,9
P9_44,22,4,1,9
P9_45,41,4,1,9
P9_46,27,9,1,9
P9_47,36,11,3,9
P9_48,10,8,3,9
P9_49,50,20,5,9
P9_50,4,16,4,9
P10_1,21,13,4,10
P10_2,40,19,2,10
P10_3,9,16,2,10
P10_4,32,14,5,10
P10_5,10,16,3,10
P10_6,22,6,4,10
P10_7,34,16,2,10
P10_8,38,16,1,10
P10_9,21,12,2,10
P10_10,0,13,3,10
P10_11,10,15,2,10
P10_12,16,18,2,10
P10_13,6,3,4,10
P10_14,35,6,4,10
P10_15,36,14,4,10
P10_16,48,8,3,10
P10_17,20,12,2,10
P10_18,22,8,5,10
P10_19,24,15,2,10
P10_20,23,5,2,10
P10_21,33,14,4,10
P10_22,45,17,2,10
P10_23,17,4,4,10
P10_24,48,16,5,10
P10_25,34,4,2,10
P10_26,37,15,3,10
P10_27,46,18,1,10
P10_28,47,16,3,10
P10_29,27,14,4,10
P10_30,12,13,3,10
P10_31,15,20,3,10
P10_32,16,16,2,10
P10_33,11,19,4,10
P10_34,38,7,4,10
P10_35,40,7,3,10
P10_36,26,10,1,10
P10_37,8,8,5,10
P10_38,9,6,3,10
P10_39,12,8,5,10
P10_40,19,2,4,10
P10_41,47,13,4,10
P10_42,3,2,2,10
P10_43,19,8,3,10
P10_44,17,6,1,10
P10_45,42,12,4,10
P10_46,6,7,2,10
P10_47,14,4,4,10
P10_48,29,5,3,10
P10_49,44,11,2,10
P10_50,12,13,5,10
P11_1,12,3,5,11
P11_2,10,8,3,11
P11_3,27,8,4,11
P11_4,22,12,1,11
P11_5,26,8,4,11
P11_6,14,16,5,11
P11_7,29,20,1,11
P11_8,33,17,1,11
P11_9,7,1,3,11
P11_10,28,8,2,11
P11_11,45,20,5,11
P11_12,20,12,2,11
P11_13,46,20,3,11
P11_14,12,15,4,11
P11_15,37,15,4,11
P11_16,9,8,3,11
P11_17,45,1,4,11
P11_18,8,19,2,11
P11_19,13,17,1,11
P11_20,11,11,4,11
P11_21,15,7,2,11
P11_22,20,20,3,11
P11_23,12,8,3,11
P11_24,27,1,2,11
P11_25,16,8,3,11
P11_26,42,7,3,11
P11_27,40,18,4,11
P11_28,43,16,4,11
P11_29,0,19,2,11
P11_30,7,18,3,11
P11_31,19,3,5,11
P11_32,24,17,3,11
P11_33,0,13,4,11
P11_34,49,16,4,11
P11_35,21,15,5,11
P11_36,17,13,5,11
P11_37,45,11,4,11
P11_38,32,15,3,11
P11_39,5,18,2,11
P11_40,26,6,2,11
P11_41,45,1,3,11
P11_42,37,4,5,11
P11_43,0,16,1,11
P11_44,8,4,3,11
P11_45,13,5,4,11
P11_46,23,14,2,11
P11_47,6,15,2,11
P11_48,44,20,5,11
P11_49,28,15,1,11
P11_50,46,17,1,11
P12_1,39,18,3,12
P12_2,45,2,3,12
P12_3,10,15,2,12
P12_4,17,14,5,12
P12_5,43,13,4,12
P12_6,32,20,4,12
P12_7,26,11,2,12
P12_8,18,6,1,12
P12_9,37,20,3,12
P12_10,48,8,3,12
P12_11,42,19,5,12
P12_12,33,5,2,12
P12_13,31,16,4,12
P12_14,50,7,1,12
P12_15,42,16,2,12
P12_16,33,10,3,12
P12_17,45,17,4,12
P12_18,39,3,3,12
P12_19,16,19,5,12
P12_20,2,16,4,12
P12_21,5,9,3,12
P12_22,47,4,2,12
P12_23,25,1,5,12
P12_24,24,4,1,12
P12_25,50,13,3,12
P12_26,36,9,5,12
P12_27,37,15,2,12
P12_28,6,7,4,12
P12_29,5,17,3,12
P12_30,49,13,5,12
P12_31,20,17,1,12
P12_32,38,3,4,12
P12_33,36,10,4,12
P12_34,2,11,2,12
P12_35,12,15,1,12
P12_36,45,4,3,12
P12_37,1,12,3,12
P12_38,23,16,2,12
P12_39,45,12,4,12
P12_40,11,6,4,12
P12_41,50,4,4,12
P12_42,15,10,1,12
P12_43,23,11,4,12
P12_44,43,9,5,12
P12_45,1,2,3,12
P12_46,23,14,2,12
P12_47,21,2,2,12
P12_48,24,9,3,12
P12_49,40,2,1,12
P12_50,11,5,3,12
P13_1,17,19,3,13
P13_2,23,1,1,13
P13_3,13,3,1,13
P13_4,49,16,2,13
P13_5,23,10,5,13
P13_6,30,9,3,13
P13_7,16,7,3,13
P13_8,36,11,5,13
P13_9,48,14,3,13
P13_10,27,9,1,13
P13_11,2,12,3,13
P13_12,4,17,5,13
P13_13,12,15,3,13
P13_14,23,5,1,13
P13_15,31,12,5,13
P13_16,39,7,1,13
P13_17,2,3,4,13
P13_18,45,2,4,13
P13_19,33,17,1,13
P13_20,50,13,4,13
P13_21,8,9,1,13
P13_22,45,8,2,13
P13_23,22,16,1,13
P13_24,23,20,5,13
P13_25,19,4,1,13
P13_26,42,18,5,13
P13_27,27,7,5,13
P13_28,48,3,3,13
P13_29,28,1,5,13
P13_30,11,12,2,13
P13_31,32,3,2,13
P13_32,0,13,2,13
P13_33,27,15,1,13
P13_34,36,15,3,13
P13_35,34,16,5,13
P13_36,31,9,5,13
P13_37,37,18,4,13
P13_38,3,18,3,13
P13_39,7,2,2,13
P13_40,13,9,2,13
P13_41,6,17,2,13
P13_42,46,11,1,13
P13_43,27,12,1,13
P13_44,35,5,4,13
P13_45,31,10,2,13
P13_46,1,13,1,13
P13_47,47,8,3,13
P13_48,3,16,5,13
P13_49,47,17,1,13
P13_50,34,15,3,13
P14_1,4,3,4,14
P14_2,25,3,4,14
P14_3,48,20,5,14
P14_4,23,9,1,14
P14_5,28,14,1,14
P14_6,8,15,5,14
P14_7,33,20,3,14
P14_8,0,20,1,14
P14_9,46,19,4,14
P14_10,11,18,2,14
P14_11,27,5,4,14
P14_12,33,17,1,14
P14_13,7,6,4,14
P14_14,32,4,1,14
P14_15,15,18,2,14
P14_16,31,6,1,14
P14_17,40,13,3,14
P14_18,9,1,4,14
P14_19,43,13,5,14
P14_20,3,6,4,14
P14_21,7,18,3,14
P14_22,14,8,4,14
P14_23,17,13,2,14
P14_24,1,19,5,14
P14_25,21,14,5,14
P14_26,13,1,5,14
P14_27,8,4,4,14
P14_28,12,11,1,14
P14_29,27,9,1,14
P14_30,28,14,3,14
P14_31,42,10,2,14
P14_32,50,16,2,14
P14_33,46,2,5,14
P14_34,9,13,4,14
P14_35,45,20,4,14
P14_36,29,16,5,14
P14_37,28,6,5,14
P14_38,7,11,2,14
P14_39,12,5,4,14
P14_40,6,3,5,14
P14_41,44,16,2,14
P14_42,20,6,2,14
P14_43,47,14,1,14
P14_44,35,8,4,14
P14_45,17,2,3,14
P14_46,13,14,2,14
P14_47,49,11,1,14
P14_48,35,18,1,14
P14_49,27,15,3,14
P14_50,33,9,4,14
P15_1,45,17,5,15
P15_2,35,10,5,15
P15_3,30,4,3,15
P15_4,16,18,3,15
P15_5,5,15,4,15
P15_6,10,7,2,15
P15_7,27,8,5,15
P15_8,41,6,1,15
P15_9,1,2,3,15
P15_10,44,2,3,15
P15_11,13,7,2,15
P15_12,22,5,1,15
P15_13,44,8,3,15
P15_14,38,9,5,15
P15_15,46,7,2,15
P15_16,48,2,5,15
P15_17,35,20,1,15
P15_18,29,12,1,15
P15_19,29,9,2,15
P15_20,45,8,1,15
P15_21,24,3,2,15
P15_22,6,5,5,15
P15_23,23,4,2,15
P15_24,36,3,2,15
P15_25,21,20,2,15
P15_26,29,4,4,15
P15_27,20,7,3,15
P15_28,6,7,2,15
P15_29,42,10,3,15
P15_30,48,19,4,15
P15_31,3,17,5,15
P15_32,21,8,2,15
P15_33,7,9,1,15
P15_34,13,20,1,15
P15_35,29,19,4,15
P15_36,19,18,1,15
P15_37,37,18,5,15
P15_38,6,11,3,15
P15_39,30,19,2,15
P15_40,35,13,3,15
P15_41,50,17,2,15
P15_42,23,4,1,15
P15_43,26,7,3,15
P15_44,9,5,4,15
P15_45,22,10,5,15
P15_46,2,13,3,15
P15_47,43,19,5,15
P15_48,32,13,2,15
P15_49,18,16,2,15
P15_50,5,7,3,15
P16_1,19,4,4,16
P16_2,25,15,2,16
P16_3,6,12,2,16
P16_4,42,3,3,16
P16_5,29,5,4,16
P16_6,1,11,3,16
P16_7,29,1,3,16
P16_8,20,12,5,16
P16_9,6,11,1,16
P16_10,7,14,4,16
P16_11,15,10,5,16
P16_12,47,11,5,16
P16_13,24,6,5,16
P16_14,17,3,4,16
P16_15,6,17,5,16
P16_16,44,9,5,16
P16_17,20,8,1,16
P16_18,23,2,4,16
P16_19,38,13,4,16
P16_20,38,4,4,16
P16_21,39,4,1,16
P16_22,24,6,4,16
P16_23,25,6,1,16
P16_24,30,17,2,16
P16_25,26,20,1,16
P16_26,15,1,5,16
P16_27,4,3,4,16
P16_28,20,7,5,16
P16_29,15,7,2,16
P16_30,43,18,4,16
P16_31,6,17,1,16
P16_32,29,10,3,16
P16_33,12,13,4,16
P16_34,12,5,4,16
P16_35,13,11,5,16
P16_36,50,11,5,16
P16_37,46,5,4,16
P16_38,14,13,4,16
P16_39,13,12,4,16
P16_40,0,8,2,16
P16_41,32,2,5,16
P16_42,21,3,3,16
P16_43,37,2,2,16
P16_44,18,3,2,16
P16_45,7,3,3,16
P16_46,9,6,2,16
P16_47,38,4,5,16
P16_48,24,12,5,16
P16_49,34,19,5,16
P16_50,44,8,5,16
P17_1,14,19,1,17
P17_2,40,18,3,17
P17_3,30,9,2,17
P17_4,13,8,3,17
P17_5,7,2,3,17
P17_6,8,15,1,17
P17_7,10,16,5,17
P17_8,1,20,4,17
P17_9,0,13,1,17
P17_10,34,16,4,17
P17_11,4,6,1,17
P17_12,10,14,4,17
P17_13,40,15,1,17
P17_14,36,17,5,17
P17_15,15,20,3,17
P17_16,39,2,2,17
P17_17,4,1,2,17
P17_18,6,16,5,17
P17_19,7,10,3,17
P17_20,46,7,2,17
P17_21,21,16,5,17
P17_22,40,16,5,17
P17_23,6,19,5,17
P17_24,43,7,5,17
P17_25,3,4,2,17
P17_26,32,9,3,17
P17_27,0,18,1,17
P17_28,36,19,3,17
P17_29,20,8,5,17
P17_30,34,19,2,17
P17_31,45,7,2,17
P17_32,33,4,1,17
P17_33,24,20,4,17
P17_34,24,7,1,17
P17_35,50,19,1,17
P17_36,48,5,1,17
P17_37,44,16,5,17
P17_38,44,12,3,17
P17_39,1,16,5,17
P17_40,15,1,4,17
P17_41,5,15,4,17
P17_42,33,6,3,17
P17_43,25,3,1,17
P17_44,29,15,2,17
P17_45,2,3,4,17
P17_46,9,13,1,17
P17_47,4,19,3,17
P17_48,14,17,3,17
P17_49,32,19,4,17
P17_50,49,6,3,17
P18_1,20,3,4,18
P18_2,8,15,1,18
P18_3,42,1,2,18
P18_4,36,4,1,18
P18_5,46,2,2,18
P18_6,37,16,2,18
P18_7,47,11,2,18
P18_8,44,16,3,18
P18_9,27,15,3,18
P18_10,3,7,1,18
P18_11,7,5,1,18
P18_12,8,12,3,18
P18_13,14,3,3,18
P18_14,28,1,4,18
P18_15,4,13,2,18
P18_16,24,13,5,18
P18_17,7,1,2,18
P18_18,1,15,3,18
P18_19,46,8,1,18
P18_20,15,12,2,18
P18_21,11,13,1,18
P18_22,6,20,2,18
P18_23,46,13,4,18
P18_24,15,2,2,18
P18_25,36,16,1,18
P18_26,1,6,4,18
P18_27,46,18,1,18
P18_28,50,2,5,18
P18_29,42,17,4,18
P18_30,38,5,3,18
P18_31,23,13,1,18
P18_32,8,13,2,18
P18_33,50,7,4,18
P18_34,0,13,2,18
P18_35,41,3,5,18
P18_36,35,2,3,18
P18_37,32,7,4,18
P18_38,28,10,1,18
P18_39,27,17,4,18
P18_40,4,8,5,18
P18_41,23,19,2,18
P18_42,4,12,5,18
P18_43,43,6,1,18
P18_44,26,11,4,18
P18_45,30,19,1,18
P18_46,32,13,2,18
P18_47,15,8,4,18
P18_48,37,6,5,18
P18_49,22,11,5,18
P18_50,45,5,1,18
P19_1,28,10,1,19
P19_2,34,15,2,19
P19_3,30,9,3,19
P19_4,48,18,4,19
P19_5,34,17,4,19
P19_6,16,14,4,19
P19_7,48,12,1,19
P19_8,38,3,1,19
P19_9,34,7,4,19
P19_10,3,6,4,19
P19_11,31,17,3,19
P19_12,4,15,5,19
P19_13,42,16,4,19
P19_14,46,12,5,19
P19_15,16,1,3,19
P19_16,39,7,5,19
P19_17,2,20,5,19
P19_18,50,17,4,19
P19_19,11,2,2,19
P19_20,15,6,3,19
P19_21,29,13,3,19
P19_22,48,8,2,19
P19_23,26,17,4,19
P19_24,28,17,1,19
P19_25,40,13,2,19
P19_26,50,20,4,19
P19_27,11,15,1,19
P19_28,5,10,3,19
P19_29,27,6,5,19
P19_30,47,9,3,19
P19_31,50,16,4,19
P19_32,13,5,4,19
P19_33,50,16,5,19
P19_34,33,15,2,19
P19_35,1,14,5,19
P19_36,39,3,4,19
P19_37,27,12,2,19
P19_38,2,15,2,19
P19_39,12,20,5,19
P19_40,46,4,3,19
P19_41,22,7,2,19
P19_42,31,10,5,19
P19_43,18,10,5,19
P19_44,23,14,3,19
P19_45,27,10,1,19
P19_46,50,12,3,19
P19_47,23,15,1,19
P19_48,46,16,1,19
P19_49,32,2,1,19
P19_50,18,2,1,19
P20_1,50,16,4,20
P20_2,35,15,5,20
P20_3,3,7,2,20
P20_4,38,2,2,20
P20_5,31,20,5,20
P20_6,10,8,1,20
P20_7,23,6,4,20
P20_8,34,5,3,20
P20_9,24,1,4,20
P20_10,11,2,1,20
P20_11,36,14,5,20
P20_12,24,14,1,20
P20_13,42,2,1,20
P20_14,3,17,2,20
P20_15,20,1,5,20
P20_16,42,1,3,20
P20_17,20,2,3,20
P20_18,31,19,2,20
P20_19,10,17,4,20
P20_20,35,9,2,20
P20_21,47,10,2,20
P20_22,49,5,2,20
P20_23,11,11,3,20
P20_24,36,2,2,20
P20_25,42,1,1,20
P20_26,4,6,1,20
P20_27,0,18,2,20
P20_28,41,2,3,20
P20_29,20,7,5,20
P20_30,35,20,2,20
P20_31,2,20,4,20
P20_32,38,2,3,20
P20_33,44,11,4,20
P20_34,2,1,5,20
P20_35,1,7,5,20
P20_36,26,20,1,20
P20_37,44,9,4,20
P20_38,5,17,1,20
P20_39,6,16,2,20
P20_40,22,19,2,20
P20_41,5,16,1,20
P20_42,18,15,4,20
P20_43,32,13,2,20
P20_44,36,10,3,20
P20_45,16,3,5,20
P20_46,11,19,4,20
P20_47,36,14,2,20
P20_48,34,4,2,20
P20_49,50,20,4,20
P20_50,39,18,4,20
P21_1,27,7,3,21
P21_2,40,11,5,21
P21_3,40,13,2,21
P21_4,18,13,3,21
P21_5,10,16,5,21
P21_6,7,2,3,21
P21_7,11,19,4,21
P21_8,14,7,3,21
P21_9,16,5,3,21
P21_10,18,5,2,21
P21_11,23,10,1,21
P21_12,45,17,5,21
P21_13,0,17,4,21
P21_14,43,4,1,21
P21_15,37,19,4,21
P21_16,31,6,3,21
P21_17,40,4,4,21
P21_18,20,3,1,21
P21_19,39,9,3,21
P21_20,17,15,4,21
P21_21,16,15,5,21
P21_22,41,10,5,21
P21_23,43,7,3,21
P21_24,44,8,1,21
P21_25,6,18,2,21
P21_26,24,4,5,21
P21_27,15,18,3,21
P21_28,1,7,1,21
P21_29,20,11,4,21
P21_30,3,14,2,21
P21_31,37,11,3,21
P21_32,20,14,4,21
P21_33,4,13,1,21
P21_34,33,6,5,21
P21_35,37,15,5,21
P21_36,35,3,1,21
P21_37,38,13,1,21
P21_38,11,18,1,21
P21_39,9,11,1,21
P21_40,37,16,3,21
P21_41,46,20,1,21
P21_42,14,5,5,21
P21_43,9,18,3,21
P21_44,8,11,3,21
P21_45,22,4,3,21
P21_46,40,3,3,21
P21_47,16,5,2,21
P21_48,31,17,5,21
P21_49,25,14,3,21
P21_50,13,20,1,21
P22_1,4,19,4,22
P22_2,19,20,2,22
P22_3,16,19,2,22
P22_4,41,15,5,22
P22_5,13,18,5,22
P22_6,47,6,3,22
P22_7,49,5,4,22
P22_8,0,10,5,22
P22_9,18,2,1,22
P22_10,31,13,5,22
P22_11,47,4,3,22
P22_12,46,20,5,22
P22_13,4,8,5,22
P22_14,34,5,1,22
P22_15,45,13,2,22
P22_16,3,2,3,22
P22_17,30,18,1,22
P22_18,9,20,2,22
P22_19,0,2,5,22
P22_20,39,19,5,22
P22_21,39,7,2,22
P22_22,20,13,4,22
